date,Facebook_views
2018-10-14,23848.85714285714
2018-10-21,24478.285714285714
2018-10-28,21199.428571428572
2018-11-04,22280.85714285714
2018-11-11,22578.14285714286
2018-11-18,24506.428571428572
2018-11-25,22390.0
2018-12-02,21864.285714285714
2018-12-09,23420.428571428572
2018-12-16,24353.14285714286
2018-12-23,20808.85714285714
2018-12-30,19786.0
2019-01-06,17936.428571428572
2019-01-13,17978.85714285714
2019-01-20,19813.571428571428
2019-01-27,17590.428571428572
2019-02-03,18003.428571428572
2019-02-10,23424.285714285714
2019-02-17,21247.714285714286
2019-02-24,20005.14285714286
2019-03-03,22048.571428571428
2019-03-10,22037.571428571428
2019-03-17,23729.0
2019-03-24,22808.285714285714
2019-03-31,24199.571428571428
2019-04-07,23208.285714285714
2019-04-14,23396.14285714286
2019-04-21,21187.285714285714
2019-04-28,24204.14285714286
2019-05-05,23621.285714285714
2019-05-12,26085.0
2019-05-19,25281.571428571428
2019-05-26,27969.714285714286
2019-06-02,26354.0
2019-06-09,28736.0
2019-06-16,24491.571428571428
2019-06-23,22620.428571428572
2019-06-30,22569.285714285714
2019-07-07,24962.14285714286
2019-07-14,25987.428571428572
2019-07-21,24930.0
2019-07-28,25530.14285714286
2019-08-04,25461.571428571428
2019-08-11,23645.285714285714
2019-08-18,28957.85714285714
2019-08-25,32124.285714285714
2019-09-01,29956.571428571428
2019-09-08,24196.0
2019-09-15,23828.14285714286
2019-09-22,22442.428571428572
2019-09-29,22611.714285714286
2019-10-06,22184.285714285714
2019-10-13,23524.714285714286
2019-10-20,23151.571428571428
2019-10-27,24756.571428571428
2019-11-03,24946.0
2019-11-10,25442.571428571428
2019-11-17,55556.142857142855
2019-11-24,24331.285714285714
2019-12-01,25205.85714285714
2019-12-08,26842.428571428572
2019-12-15,22518.285714285714
2019-12-22,72730.14285714286
2019-12-29,22147.0
2020-01-05,23269.571428571428
2020-01-12,24112.428571428572
2020-01-19,21369.428571428572
2020-01-26,19125.714285714286
2020-02-02,17925.85714285714
2020-02-09,22321.571428571428
2020-02-16,20238.428571428572
2020-02-23,20749.714285714286
2020-03-01,21330.0
2020-03-08,20805.571428571428
2020-03-15,20993.714285714286
2020-03-22,20825.714285714286
2020-03-29,24139.571428571428
2020-04-05,28910.85714285714
2020-04-12,29738.85714285714
2020-04-19,35237.28571428572
2020-04-26,59123.57142857143
2020-05-03,84889.42857142857
2020-05-10,65510.71428571428
2020-05-17,17735.571428571428
2020-05-24,17043.85714285714
2020-05-31,16275.714285714286
2020-06-07,14959.42857142857
2020-06-14,20839.85714285714
2020-06-21,16972.14285714286
2020-06-28,15007.142857142857
2020-07-05,15770.42857142857
2020-07-12,16306.0
2020-07-19,15914.857142857143
2020-07-26,15290.57142857143
2020-08-02,16278.0
2020-08-09,14993.857142857143
2020-08-16,18512.714285714286
2020-08-23,18213.285714285714
2020-08-30,18487.0
2020-09-06,17007.714285714286
2020-09-13,17912.714285714286
2020-09-20,20945.85714285714
2020-09-27,18092.714285714286
2020-10-04,13330.0
2020-10-11,17444.714285714286
2020-10-18,22225.285714285714
2020-10-25,18568.285714285714
2020-11-01,17858.428571428572
2020-11-08,20740.428571428572
2020-11-15,23939.285714285714
2020-11-22,25643.0
2020-11-29,22389.571428571428
2020-12-06,21023.714285714286
2020-12-13,20317.714285714286
2020-12-20,23419.85714285714
2020-12-27,24861.571428571428
2021-01-03,26043.14285714286
2021-01-10,23252.571428571428
2021-01-17,21484.571428571428
2021-01-24,16946.285714285714
2021-01-31,22904.285714285714
2021-02-07,23655.571428571428
2021-02-14,21645.571428571428
2021-02-21,19396.285714285714
2021-02-28,17909.285714285714
2021-03-07,19550.571428571428
2021-03-14,20707.571428571428
2021-03-21,20513.714285714286
2021-03-28,21444.0
2021-04-04,20504.0
2021-04-11,18165.428571428572
2021-04-18,12658.0
2021-04-25,10031.42857142857
2021-05-02,9791.42857142857
2021-05-09,10123.0
2021-05-16,10796.714285714286
2021-05-23,12613.0
2021-05-30,13399.714285714286
2021-06-06,12794.42857142857
2021-06-13,11915.0
2021-06-20,12065.57142857143
2021-06-27,10677.57142857143
2021-07-04,18094.428571428572
2021-07-11,23419.571428571428
2021-07-18,29517.428571428572
2021-07-25,37299.42857142857
2021-08-01,29396.714285714286
2021-08-08,27384.714285714286
2021-08-15,26077.571428571428
2021-08-22,27168.428571428572
2021-08-29,30971.85714285714
2021-09-05,28014.714285714286
2021-09-12,27036.14285714286
2021-09-19,31695.0
2021-09-26,32651.714285714286
2021-10-03,33324.57142857143
2021-10-10,57841.857142857145
2021-10-17,29805.714285714286
2021-10-24,32146.14285714286
2021-10-31,56671.0
2021-11-07,46137.71428571428
2021-11-14,31243.571428571428
2021-11-21,29074.0
2021-11-28,26913.85714285714
2021-12-05,28022.571428571428
2021-12-12,27919.571428571428
2021-12-19,27005.0
2021-12-26,25552.85714285714
2022-01-02,28472.8
