date,Cambridge_Analytica_views
2017-08-20,1073.0
2017-08-27,447.7142857142857
2017-09-03,439.85714285714283
2017-09-10,752.0
2017-09-17,682.8571428571429
2017-09-24,873.0
2017-10-01,795.7142857142857
2017-10-08,800.5714285714286
2017-10-15,1100.4285714285713
2017-10-22,629.0
2017-10-29,2367.0
2017-11-05,1116.5714285714287
2017-11-12,615.4285714285714
2017-11-19,623.7142857142857
2017-11-26,466.0
2017-12-03,484.57142857142856
2017-12-10,455.14285714285717
2017-12-17,718.5714285714286
2017-12-24,1539.142857142857
2017-12-31,634.5714285714286
2018-01-07,906.7142857142857
2018-01-14,869.0
2018-01-21,650.0
2018-01-28,435.57142857142856
2018-02-04,477.57142857142856
2018-02-11,502.85714285714283
2018-02-18,593.8571428571429
2018-02-25,467.14285714285717
2018-03-04,609.2857142857143
2018-03-11,507.7142857142857
2018-03-18,6939.571428571428
2018-03-25,84831.42857142857
2018-04-01,19585.571428571428
2018-04-08,11038.142857142857
2018-04-15,34284.857142857145
2018-04-22,6758.285714285715
2018-04-29,3570.8571428571427
2018-05-06,9010.0
2018-05-13,2596.1428571428573
2018-05-20,3608.1428571428573
2018-05-27,2366.285714285714
2018-06-03,1934.142857142857
2018-06-10,1995.4285714285713
2018-06-17,1364.7142857142858
2018-06-24,1229.4285714285713
2018-07-01,1105.5714285714287
2018-07-08,1088.0
2018-07-15,1324.0
2018-07-22,1352.0
2018-07-29,1685.7142857142858
2018-08-05,1217.142857142857
2018-08-12,989.7142857142857
2018-08-19,808.5714285714286
2018-08-26,1002.2857142857143
2018-09-02,1270.142857142857
2018-09-09,983.0
2018-09-16,1014.7142857142857
2018-09-23,953.5714285714286
2018-09-30,1088.5714285714287
2018-10-07,977.4285714285714
2018-10-14,1350.2857142857142
2018-10-21,1192.7142857142858
2018-10-28,1226.0
2018-11-04,1136.0
2018-11-11,1053.857142857143
2018-11-18,1288.857142857143
2018-11-25,1395.4285714285713
2018-12-02,1408.0
2018-12-09,1289.7142857142858
2018-12-16,1222.857142857143
2018-12-23,1526.4285714285713
2018-12-30,1000.1428571428571
2019-01-06,901.0
2019-01-13,1870.4285714285713
2019-01-20,1554.2857142857142
2019-01-27,1621.0
2019-02-03,1461.0
2019-02-10,1468.0
2019-02-17,1474.4285714285713
2019-02-24,1674.5714285714287
2019-03-03,1257.0
2019-03-10,1310.7142857142858
2019-03-17,1467.4285714285713
2019-03-24,1711.2857142857142
2019-03-31,1490.0
2019-04-07,1277.4285714285713
2019-04-14,1295.5714285714287
2019-04-21,1404.2857142857142
2019-04-28,1414.857142857143
2019-05-05,1171.5714285714287
2019-05-12,1221.142857142857
2019-05-19,1063.2857142857142
2019-05-26,1055.7142857142858
2019-06-02,953.4285714285714
2019-06-09,853.1428571428571
2019-06-16,903.0
2019-06-23,904.0
2019-06-30,829.4285714285714
2019-07-07,676.0
2019-07-14,1615.0
2019-07-21,2326.714285714286
2019-07-28,17849.85714285714
2019-08-04,18109.428571428572
2019-08-11,9820.142857142857
2019-08-18,6715.571428571428
2019-08-25,4911.571428571428
2019-09-01,3920.1428571428573
2019-09-08,3681.5714285714284
2019-09-15,3245.4285714285716
2019-09-22,2885.714285714286
2019-09-29,2788.285714285714
2019-10-06,2460.5714285714284
2019-10-13,3058.714285714286
2019-10-20,2523.4285714285716
2019-10-27,4285.428571428572
2019-11-03,3193.0
2019-11-10,2846.0
2019-11-17,2573.0
2019-11-24,2298.8571428571427
2019-12-01,1960.142857142857
2019-12-08,1983.7142857142858
2019-12-15,2089.8571428571427
2019-12-22,1681.142857142857
2019-12-29,1468.2857142857142
2020-01-05,2311.1428571428573
2020-01-12,2518.4285714285716
2020-01-19,2101.5714285714284
2020-01-26,2046.5714285714287
2020-02-02,1968.0
2020-02-09,2029.142857142857
2020-02-16,1800.2857142857142
2020-02-23,1761.5714285714287
2020-03-01,1749.4285714285713
2020-03-08,1585.4285714285713
2020-03-15,1628.857142857143
2020-03-22,1323.4285714285713
2020-03-29,1631.0
2020-04-05,1829.142857142857
2020-04-12,1987.2857142857142
2020-04-19,2200.285714285714
2020-04-26,2229.714285714286
2020-05-03,2056.8571428571427
2020-05-10,2128.1428571428573
2020-05-17,1781.142857142857
2020-05-24,1682.857142857143
2020-05-31,2023.857142857143
2020-06-07,1975.5714285714287
2020-06-14,1686.5714285714287
2020-06-21,1561.2857142857142
2020-06-28,1662.142857142857
2020-07-05,1751.4285714285713
2020-07-12,1611.142857142857
2020-07-19,1700.5714285714287
2020-07-26,1496.4285714285713
2020-08-02,1713.0
2020-08-09,1534.4285714285713
2020-08-16,1534.2857142857142
2020-08-23,2188.4285714285716
2020-08-30,1559.4285714285713
2020-09-06,1456.857142857143
2020-09-13,1575.857142857143
2020-09-20,2104.5714285714284
2020-09-27,2390.4285714285716
2020-10-04,3433.0
2020-10-11,2615.5714285714284
2020-10-18,2377.0
2020-10-25,2336.4285714285716
2020-11-01,2036.5714285714287
2020-11-08,3099.714285714286
2020-11-15,3151.5714285714284
2020-11-22,2532.5714285714284
2020-11-29,1867.5714285714287
2020-12-06,1448.142857142857
2020-12-13,1417.5714285714287
2020-12-20,1203.2857142857142
2020-12-27,955.1428571428571
2021-01-03,1128.2857142857142
2021-01-10,2521.0
2021-01-17,3071.8571428571427
2021-01-24,2252.1428571428573
2021-01-31,1542.0
2021-02-07,1488.2857142857142
2021-02-14,1303.4285714285713
2021-02-21,1214.857142857143
2021-02-28,1204.142857142857
2021-03-07,1128.4285714285713
2021-03-14,1108.857142857143
2021-03-21,1085.857142857143
2021-03-28,1083.0
2021-04-04,1054.142857142857
2021-04-11,1160.857142857143
2021-04-18,1027.5714285714287
2021-04-25,990.2857142857143
2021-05-02,1009.7142857142857
2021-05-09,1042.2857142857142
2021-05-16,990.7142857142857
2021-05-23,921.8571428571429
2021-05-30,982.7142857142857
2021-06-06,919.2857142857143
2021-06-13,910.0
2021-06-20,802.1428571428571
2021-06-27,816.0
2021-07-04,737.2857142857143
2021-07-11,794.5714285714286
2021-07-18,823.2857142857143
2021-07-25,940.2857142857143
2021-08-01,781.0
2021-08-08,747.4285714285714
2021-08-15,720.4285714285714
2021-08-22,734.2857142857143
2021-08-29,744.8571428571429
2021-09-05,858.5714285714286
2021-09-12,904.5714285714286
2021-09-19,922.0
2021-09-26,1130.0
2021-10-03,1136.7142857142858
2021-10-10,1708.5714285714287
2021-10-17,1284.4285714285713
2021-10-24,1398.2857142857142
2021-10-31,1268.4285714285713
2021-11-07,1064.5714285714287
2021-11-14,1105.142857142857
2021-11-21,1141.4285714285713
2021-11-28,1078.0
2021-12-05,997.2857142857143
2021-12-12,990.2857142857143
2021-12-19,2245.4285714285716
2021-12-26,1617.2857142857142
2022-01-02,792.6
